Experiment,Model,Split,Kendall,MSE
1,CNN,train,0.4540573310976643,0.1583687663078308
1,CNN,test,0.3268450472168432,0.2018710970878601
1,MLP,train,0.38284247025239615,0.17984895408153534
1,MLP,test,0.3021150118437212,0.21062405407428741
1,DTR,train,0.8999389406371451,0.019870725309142065
1,DTR,test,0.1417186048625467,0.40180153187387296
1,SVR,train,0.4135464056610592,0.1853254834258664
1,SVR,test,0.308210635287807,0.21835166135801543
2,CNN,train,0.6765512859991015,0.08852537721395493
2,CNN,test,0.5116567445792597,0.16615083813667297
2,MLP,train,0.7447508459665906,0.0528038926422596
2,MLP,test,0.5049039782631853,0.17957618832588196
2,DTR,train,0.9954639843260433,0.0007997228511133446
2,DTR,test,0.5189380940308043,0.2574908865813938
2,SVR,train,0.6016352726818194,0.1353065072376214
2,SVR,test,0.4910212964484898,0.18669769988981155
